Novel_Fam	0505-0101	R1W5
NOV5JH80	1.6093367	0
NOVHSBZP	4.8376856	0
NOVSIOD8	6.0922254	0
NOVV9G1Y	1.6255926	0
NOV77OD2	1.6321874	0
NOV2GTYQ	1.6455386	0
NOVDZCSP	1.6659801	0
NOVSY5BL	6.677746	0
NOVC2826	1.6763924	0
NOVE42EV	1.6798922	0
NOVUA3AV	3.3809593	0
NOVTU8IU	5.169176	0
NOVPVSOD	1.7379446	0
NOVOCUWI	1.7454846	0
NOV4P7EN	1.7530901	0
NOVDGA2F	1.7530901	205.20134
NOV3ZKKA	3.5138354	0
NOVUZF1O	2.6353767	0
NOVFFNF3	1.7569177	0
NOV8NJV1	3.5292473	0
NOVRYDNM	1.7646236	0
NOVX2TRA	1.7646236	0
NOV9J31T	3.5604796	0
NOVV4R4Z	1.8041892	0
NOV8ZAR0	1.8082435	0
NOVTGTH4	1.8164071	0
NOVQ13WF	1.8371423	0
NOVQJ6LR	3.6911392	0
NOVRDZ0X	3.7081492	0
NOV02LCZ	1.8583565	4.2216735
NOV62G00	2.80047	3.5075984
NOVF78PW	1.8800662	0
NOV33F68	3.7777855	0
NOVPKLHQ	2.8400059	0
NOV6A5E9	1.9296603	0
NOVEQ3W2	2.915465	0
NOV93GJW	2.915465	0
NOVGO4X6	5.873492	0
NOV0QV8F	1.9917533	0
NOVE7CAD	1.9966956	0
NOVJ7V0B	2.0016627	0
NOVRGY89	4.0133085	0
NOVB91H4	2.0116708	0
NOVV3V5I	2.0579753	0
NOVMSZEK	3.0948782	0
NOVYAK5F	5.1981163	0
NOVNQ70Z	4.169266	0
NOVV0E2Q	2.1064618	0
NOV7CSLO	2.1119905	0
NOVL5TQG	2.1119905	0
NOV1KMZD	2.1572878	0
NOV21ECW	2.1572878	0
NOV202KR	2.1747794	0
NOV7NG0S	2.2106273	0
NOVNUPWU	2.2167172	0
NOV70U0P	3.3621242	0
NOV69MWS	0	167.72453
NOVTYPA8	0	248.24106
NOVC0USS	0	36.272133
NOVGKE0Q	0	36.272133
NOV2AQOK	0	205.20134
NOVEB58E	0	241.31483
NOV8LW4P	0	239.51112
NOV9JTBC	0	74.388794
NOVZXORL	0	193.13934
NOVRO9LY	0	36.453796
NOVAOQGE	0	33.31002
NOV5JRRV	0	184.20518
NOVX0G60	0	174.4839
NOVIR923	0	38.692772
NOVE0IHP	0	35.457188
NOVK4IEV	0	35.457188
NOVUQDNS	0	33.162548
NOVRUTDB	0	229.52458
NOVCZ7QR	0	57.315062
NOV6JDCK	0	36.75905
