Novel_Fam	0505-0101	R1W5
NOV9L7Q6	234.7850520163181	0
NOVD6U0U	60.65163864085544	27.450325119705834
NOV5WQX3	23.9632721626746	0
NOV763FA	18.02626408732217	0
NOV5EPHE	7.78033422620701	0
NOV00DKY	7.78033422620701	2.2075863555990343
NOVZ7TL8	14.572995848737314	0
NOV2FPI7	20.467422414508178	0
NOVDCC6Y	23.05477952736788	0
NOVEU62J	12.783772927452425	0
NOVWDOON	28.34014661112856	76.4393688476956
NOV4CTJA	11.55966447232589	0
NOVS517E	17.473964924023708	0
NOVVQW4R	11.349333969669704	0
NOVNYQ83	11.349333969669704	0
NOVWCC6W	11.349333969669704	0
NOVT0YXF	46.11701325703104	23.212105684071922
NOVRWOIT	9.91248633481848	0
NOVLBCNA	14.364758447811782	0
NOVVGQJY	21.434576180911463	0
NOV7SUNA	21.434576180911463	0
NOVC81RD	7.6195775729798525	0
NOVDD01F	7.6195775729798525	0
NOV4QTEA	140.78987958559284	0
NOV0GOQ5	105.67745218249989	21.59206713019306
NOVVEBCI	71.07607281778425	0
NOV0KDM5	9.53215732975518	0
NOVM091F	9.53215732975518	0
NOVYCVTX	9.495849605097265	0
NOV5O5VQ	10.021506113487483	0
NOV6J2IB	10.74926148445294	13.384629736488025
NOVBG8RQ	9.73944064430942	3.3040208788593977
NOV92PVS	9.73944064430942	0
NOVE7GLO	9.73944064430942	0
NOVDNVD6	9.332040243499865	3.1892094012395424
NOVU8UTN	6.307625088385505	0
NOVYJWMD	26.419820997882745	0
NOVDLGYO	11.850035185162241	4.9436722689965285
NOVIDCZE	6.4308402369895585	0
NOV6H3EA	6.4308402369895585	0
NOVLG7QW	7.43635894803746	0
NOVBA752	7.43635894803746	0
NOV1HATD	7.67027387696334	0
NOV57XYG	10.642763548352606	0
NOV5TRWN	16.260764519059205	0
NOVG16XF	16.209873165595766	0
NOVPKFDQ	7.515511315065942	0
NOVWSL3M	7.515511315065942	0
NOVIEV3E	5.840246512467321	0
NOVMCASD	11.187795278433294	0
NOVX0CP0	5.884453281041068	0
NOV4A7RF	25.04624391815911	0
NOV5G5F4	8.358205112363388	0
NOVCC6KS	6.182781920655125	0
NOV4NN7D	12.24429937151469	0
NOVYIA4X	5.501137442809243	0
NOV71A1W	16.90616024711352	0
NOV07UM7	35.96183384664396	0
NOVPTETR	6.603022373527458	0
NOVPXHE4	6.603022373527458	0
NOVOTZ15	9.656512045745426	0
NOVX404E	7.85602906518987	2.3827074819873233
NOV19DSR	6.618282511213229	0
NOVKVXTX	11.425709641742975	7.85196933210468
NOVEBFMK	9.535744400096922	0
NOV1IG6B	6.852271319729865	0
NOVMH2LD	13.557014757188186	0
NOVN22MP	6.026687042003372	0
NOVOVEW7	7.986836882819071	0
NOV3TH6Y	5.722522190732953	0
NOVGLZW7	8.09014548390872	0
NOVI0I8X	8.065727497125632	0
NOVZ732F	5.842908109828466	0
NOVLNW8V	11.729379600960243	21.59206713019306
NOV1V3HE	7.780216920505623	0
NOVHVZKC	7.780216920505623	0
NOV6ZFDV	7.780216920505623	0
NOV1YILP	7.780216920505623	0
NOVSRYID	6.172363426286888	0
NOVBGAIB	6.172363426286888	0
NOVMVPH2	6.172363426286888	0
NOVY3H3X	9.148922823476315	68.69463460648588
NOVG8LF3	5.878557634496003	0
NOVJZCJH	6.654232246471848	0
NOVC5W1T	5.5419709594334225	0
NOV29WGK	7.178260827740211	0
NOVPDOEU	5.510171361883211	0
NOVZ4QFN	5.11560871302464	0
NOVOSVI2	6.824278959222124	0
NOVR22D4	7.3278097722410855	0
NOV2I39X	7.3278097722410855	0
NOVTH42Y	7.3278097722410855	0
NOVDTLFC	43.78563613752162	0
NOVGNX22	6.203890046569632	0
NOVIIUWS	4.876709257836714	0
NOV8ZCR4	12.338848502869384	0
NOVPOBFB	8.761311664479777	0
NOV9167Y	11.473342196819617	0
NOVBZWFN	7.6348162736237235	0
NOVQRIX7	7.238568654870857	0
NOVTJG58	7.800902745895132	0
NOVCD17V	11.148035545998058	0
NOVDD99C	11.148035545998058	0
NOV2NUSG	4.488453791525019	0
NOVTQ5G2	4.009012049302899	0
NOV3H16V	15.170713939523864	0
NOVLWJAW	6.644705183429688	3.8794767638999197
NOV5O7KK	4.70666594925189	0
NOVIFXX9	5.827192181990008	0
NOVF7ZDD	127.66247915687383	0
NOVQ0GU3	4.274428113272869	0
NOVJX7I9	11.751233423117691	0
NOVOEH6U	3.2731670931607657	0
NOVJRET7	5.571051364823217	0
