baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	tax[rownames(res), ]	Phylum	KO
0.245230250312883	1.23585945322224	3.04892697369527	0.405342425018593	0.685225825645374	0.84655442959671	0	0	0	0	3	0	0	24	0	0	0	0	0	0	0	0	No	NOVOY886	NOVOY886	NOVOY886
4.07307614980323	-0.59074105381236	2.72391684444981	-0.216871911863257	0.828308167741635	0.928667874469102	0	0	0	0	9	0	0	13	0	0	0	0	0	10	8	11	No	NOVZVCHO	NOVZVCHO	NOVZVCHO
11.9303499816186	0.00258472519179185	2.13576434060958	0.00121021085643472	0.999034391678041	0.999034391678041	0	24	0	33	17	17	0	0	0	0	0	0	29	19	11	21	No	NOVM9FE3	NOVM9FE3	NOVM9FE3
5.23064234048848	-0.0251611450007023	2.55131173781401	-0.00986204258295013	0.992131356035857	0.996539212309727	0	0	0	0	16	4	0	0	0	0	0	0	11	15	3	10	No	NOVRXOLO	NOVRXOLO	NOVRXOLO
1.95601989864944	4.34873245928275	2.98631847895126	1.45621858148564	0.145332204430297	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	No	NOV63C2K	NOV63C2K	NOV63C2K
7.21167518401893	-0.959188850213288	2.50847862296826	-0.382378722079078	0.70218047076084	0.860746760494738	0	0	0	26	0	0	0	42	0	0	0	0	13	12	12	14	No	NOVIZ61Q	NOVIZ61Q	NOVIZ61Q
0.91883415276338	-1.34541109305526	3.00525630265449	-0.447685973361702	0.654379846111432	0.84655442959671	0	0	0	0	0	0	0	61	0	0	0	0	0	0	3	6	No	NOV8INN2	NOV8INN2	NOV8INN2
3.31182740754861	0.535253954589316	2.71232935625641	0.197341061606205	0.84356064856447	0.937544307779533	0	17	0	0	11	0	0	0	0	0	0	0	0	5	4	9	No	NOVC6G3V	NOVC6G3V	NOVC6G3V
0.572203917396728	2.56954169152243	3.01542422701915	0.852132734259586	0.394140425478515	0.84655442959671	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	No	NOVCBNMS	NOVCBNMS	NOVCBNMS
2.13650372052799	-4.55188849460981	2.98403169028409	-1.52541560112468	0.127155469902496	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	No	NOVYF8RN	NOVYF8RN	NOVYF8RN
1.27227832623907	2.07542216999569	2.98777573198359	0.69463786983028	0.487282273341464	0.84655442959671	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0	0	No	NOVVBVPA	NOVVBVPA	NOVVBVPA
0.572203917396728	2.56954169152243	3.01542422701915	0.852132734259586	0.394140425478515	0.84655442959671	0	0	0	17	7	0	0	0	0	0	0	0	0	0	0	0	No	NOVWXRGR	NOVWXRGR	NOVWXRGR
1.07317515060084	-0.237145197917507	2.97820530851035	-0.0796268804033941	0.936534015621919	0.981153720259643	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	No	NOVKWPBF	NOVKWPBF	NOVKWPBF
