baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R30W7	R8W7	R14W7	R2W7	R16W7	R10W7	R4W7	R18W7	R6W7	R12W7	R20W6	R1W7	R9W7	R3W7	R17W7	R19W7	R23W7	R11W7	R21W7	R7W7	R29W7	Significant	tax[rownames(res), ]	Phylum	KO
0.521337769248381	2.31851750556938	3.08970826129364	0.750400137972455	0.453013747874909	0.847429605334513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	No	NOVP9MAK	NOVP9MAK	NOVP9MAK
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV44B88	NOV44B88	NOV44B88
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVXJ1BL	NOVXJ1BL	NOVXJ1BL
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVTMGF4	NOVTMGF4	NOVTMGF4
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV2DP48	NOV2DP48	NOV2DP48
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVQU59R	NOVQU59R	NOVQU59R
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVSTRU3	NOVSTRU3	NOVSTRU3
0.971382408337411	-2.09951834050442	3.04627530318047	-0.689208338561001	0.490692170131015	0.847429605334513	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVA1YQ4	NOVA1YQ4	NOVA1YQ4
0.713120416757411	-3.23319966188065	3.04717463068002	-1.0610483656984	0.288667921602291	0.847429605334513	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVBBETA	NOVBBETA	NOVBBETA
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	No	NOVVK9NT	NOVVK9NT	NOVVK9NT
0.485187821173304	-2.64959213980411	3.05849015958677	-0.866307230546101	0.386321702175656	0.847429605334513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	No	NOVU21JC	NOVU21JC	NOVU21JC
1.21409579375651	-0.628127416069558	3.02790807055148	-0.207445999493359	0.835661561427156	0.880359478745056	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV2QR64	NOV2QR64	NOV2QR64
0.310105813180653	1.66934958348122	3.10426853972795	0.537759398749541	0.590743165592238	0.847429605334513	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	No	NOVRKOL1	NOVRKOL1	NOVRKOL1
