baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	tax[rownames(res), ]	Phylum	KO
3.22985271896556	-0.211092067571063	2.22651089590994	-0.094808459261904	0.924466967622645	0.953535586985578	0	0	7	0	0	0	23	0	5	0	9	14	7	88	0	0	8	0	0	0	0	0	0	0	0	0	No	NOVCZGT0	NOVCZGT0	NOVCZGT0
13.2603756803086	2.57319629569476	1.70274931692154	1.51120089735049	0.130737273860329	0.921601248521495	0	0	19	0	0	25	20	17	71	0	0	28	0	84	0	4	29	0	0	0	8	11	0	0	9	0	No	NOVLB322	NOVLB322	NOVLB322
8.54548386784733	2.56405111131778	2.02678708431871	1.26508163149247	0.205842066750168	0.921601248521495	0	28	10	0	0	0	20	0	66	0	0	24	0	50	0	0	10	0	0	18	0	0	0	0	6	0	No	NOVNZ5GV	NOVNZ5GV	NOVNZ5GV
1.65702469970994	-2.2345536266383	2.94354195826012	-0.759137684573421	0.447770198321156	0.921601248521495	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	15	0	0	0	0	39	0	0	0	0	0	No	NOVRCCP4	NOVRCCP4	NOVRCCP4
2.97854308701571	-1.26224826032482	2.53972400326272	-0.497002138304493	0.619187543428507	0.921601248521495	0	0	0	0	0	0	0	0	12	0	9	5	19	0	0	13	0	0	0	0	39	5	0	0	0	0	No	NOV29OJ8	NOV29OJ8	NOV29OJ8
1.47153758054192	0.472774362342952	2.92537000662876	0.161611817059608	0.871611550984204	0.926496703826859	0	0	0	0	0	0	6	12	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	44	0	No	NOV211NY	NOV211NY	NOV211NY
5.31945820064285	2.70738558515634	2.49949433572807	1.08317332288241	0.278731498379426	0.921601248521495	0	0	15	0	6	0	0	9	0	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	55	0	No	NOVJ26MR	NOVJ26MR	NOVJ26MR
0.952311337447139	0.231794922554807	2.94571418339304	0.0786888707199056	0.937280097909205	0.962527548715928	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	No	NOVVWVIO	NOVVWVIO	NOVVWVIO
3.64493236566343	0.981645390845997	2.53501656053858	0.387234310862821	0.698582751338332	0.921601248521495	0	0	0	0	9	0	0	22	0	0	0	0	9	9	0	0	16	0	0	0	0	0	23	0	144	0	No	NOVRE7MN	NOVRE7MN	NOVRE7MN
1.12263325280713	3.69808089761991	2.95355574609699	1.2520775687091	0.210541600435421	0.921601248521495	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0	0	0	No	NOVQKRUY	NOVQKRUY	NOVQKRUY
3.37190573891806	5.28786015586834	2.94472834063738	1.79570389665344	0.0725416218385862	0.921601248521495	0	0	0	0	0	0	18	5	59	0	0	0	0	44	0	0	30	0	0	0	0	0	0	0	0	0	No	NOVIOYSJ	NOVIOYSJ	NOVIOYSJ
6.74435629736108	0.899360573414724	1.94591291871672	0.462179250039528	0.643952782145898	0.921601248521495	0	0	10	20	3	0	0	20	0	0	0	0	11	12	0	0	7	0	0	45	0	0	16	0	45	0	No	NOVSCGZ8	NOVSCGZ8	NOVSCGZ8
7.13933235818231	2.12607896523877	2.34459368104356	0.906800603630592	0.364512250637142	0.921601248521495	0	0	6	18	0	0	23	0	66	0	0	12	0	52	0	0	13	0	0	0	0	0	0	0	0	0	No	NOVY4EUC	NOVY4EUC	NOVY4EUC
7.93094278921648	0.466858555588125	1.9703530522901	0.23694157503677	0.812702115963065	0.921601248521495	0	0	9	0	0	0	14	0	11	20	10	23	9	0	0	21	47	0	0	0	0	0	0	0	9	0	No	NOVYZZCQ	NOVYZZCQ	NOVYZZCQ
1.72301214414379	4.32184219602326	2.94892022982259	1.46556768552646	0.142766100114503	0.921601248521495	0	0	0	0	0	0	17	0	66	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV0X2U9	NOV0X2U9	NOV0X2U9
2.02889361916774	4.55334581474889	2.94764785861169	1.5447387317471	0.122409472300369	0.921601248521495	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	25	0	0	0	0	0	21	0	104	0	No	NOVIMW7I	NOVIMW7I	NOVIMW7I
0.861203197905631	3.31989743766712	2.95750542309476	1.12253300086704	0.261635884243472	0.921601248521495	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVC0NCP	NOVC0NCP	NOVC0NCP
6.4352543741289	2.34803672292279	2.17423119239175	1.07993884511419	0.280169413775447	0.921601248521495	0	30	16	0	6	0	0	19	0	0	0	0	7	11	0	0	0	0	0	0	0	0	21	0	49	0	No	NOV1EQ1N	NOV1EQ1N	NOV1EQ1N
0.263140712152187	-1.44959604290519	2.98489375520561	-0.48564410052355	0.627219523113649	0.921601248521495	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVIUEGO	NOVIUEGO	NOVIUEGO
6.44318077508813	2.4592874978537	2.34074372488663	1.05064363591226	0.293422291941285	0.921601248521495	0	0	10	0	0	0	18	5	59	0	5	0	0	55	0	0	11	0	0	0	0	0	0	0	0	0	No	NOV1DSSB	NOV1DSSB	NOV1DSSB
16.4667754769929	2.24514851931919	2.09283823064056	1.07277690480263	0.283371225412542	0.921601248521495	0	0	14	0	0	0	35	0	129	0	0	45	0	109	0	3	27	0	0	58	0	0	0	0	19	0	No	NOV8JY37	NOV8JY37	NOV8JY37
2.53437169757124	0.325878660704465	2.74856330899741	0.118563272542314	0.905621364314309	0.943311413239702	0	0	13	0	5	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	20	0	48	0	No	NOVGTWS2	NOVGTWS2	NOVGTWS2
4.40644752069	5.67303662889571	2.32972471153747	2.43506737117961	0.0148890172510692	0.921601248521495	0	0	13	0	5	0	0	12	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0	0	48	0	Yes	NOVZQO4O	NOVZQO4O	NOVZQO4O
1.02167347946581	3.56340312074767	2.95484605807748	1.20595220553254	0.22783591950108	0.921601248521495	0	0	0	0	0	0	0	0	59	0	0	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	No	NOVQ2DQ9	NOVQ2DQ9	NOVQ2DQ9
8.1953894370444	2.55934537444909	2.16687859795486	1.18112079599875	0.237554739670867	0.921601248521495	0	75	10	15	0	0	21	0	50	0	0	14	0	44	0	0	8	0	0	0	0	0	0	0	0	0	No	NOVSBA50	NOVSBA50	NOVSBA50
5.02807987065443	3.48730519710906	2.7319105106187	1.27650784443861	0.201776055603968	0.921601248521495	0	0	0	0	0	0	25	0	50	0	10	7	0	47	0	0	14	0	0	0	0	0	0	0	0	0	No	NOVJVNSU	NOVJVNSU	NOVJVNSU
1.00031072040838	0.756270049654297	2.94460178424334	0.25683270780488	0.797307919594938	0.921601248521495	0	0	10	0	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	11	0	45	0	No	NOVTEPP6	NOVTEPP6	NOVTEPP6
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVS6EKC	NOVS6EKC	NOVS6EKC
8.3862357560158	1.94649355378974	2.35548770641206	0.826365405555304	0.408596841440794	0.921601248521495	0	0	0	22	0	0	20	11	74	0	0	0	9	62	0	0	22	0	0	0	0	0	0	0	0	0	No	NOV5AHYP	NOV5AHYP	NOV5AHYP
11.9116110953654	2.60846905331712	2.06364487997324	1.26401062442049	0.206226213597613	0.921601248521495	0	0	6	0	0	20	20	0	74	0	4	41	0	94	0	0	32	0	0	0	0	0	0	0	9	0	No	NOV8SMSW	NOV8SMSW	NOV8SMSW
5.46929452283401	1.51934107582753	2.36948377604758	0.641211850102588	0.521385051546623	0.921601248521495	0	0	8	0	6	0	0	19	0	0	0	0	18	0	0	0	6	0	0	0	0	0	15	0	48	0	No	NOV4OKKZ	NOV4OKKZ	NOV4OKKZ
